13,1,21,4762,850,850,13.6
12.5,2,23,3713,852,852,13.7
14,3,20,3351,864,864,15
17,4,24,2074,852,852,15.4
18,5,25,5860,843,843,17.4
15,6,21,3842,863,863,14.5
13,7,20,3266,821,821,14.9
10,8,21,2267,801,801,16.7
5,9,17,6187,867,867,14.9
6,10,16,4218,851,851,16
7,11,19,3705,873,873,13.6
8,12,20,2611,882,882,15.5
8,13,17,5903,872,872,14.7
9,14,15,4189,862,862,16
10,15,17,3569,874,874,14.7
10,16,27,2205,872,872,15.2
8,17,16,5142,903,903,15.8
7,18,18,3911,943,943,15.2
6,19,17,3316,943,943,17.5
7,20,18,2146,932,932,17.3
8,21,19,5903,943,943,13.3
7,22,20,4189,923,923,15.2
6,23,17,3569,954,954,17.5
8,24,18,2205,932,932,17.3
9,25,19,5142,932,932,13.3
11,26,19,391,943,943,17.5
13,27,17,3316,923,923,17.3
13,28,16,2146,954,954,15.8
14,29,18,5903,972,972,17.5
15,30,19,4189,973,973,17.3
16,31,21,3669,983,983,13.3
16,32,20,2205,973,973,15.8
16,33,18,5142,962,962,17.5
17,34,19,3911,832,832,17.3
18,35,20,3316,972,972,13.3
19,36,19,2146,974,974,17.5
21,37,20,5731,932,932,17.3
23,38,21,4199,943,943,16.3
24,39,22,3496,932,932,18.2
24,40,23,1902,954,954,18.1
23,41,24,5121,987,987,14.7
16,42,25,3573,943,943,16.3
16,43,19,2840,954,954,18.2
15,44,19,2095,943,943,18.1
15,45,27,5731,923,923,14.7
13,46,21,4199,943,943,16.6
13,47,24,3496,932,932,18.2
15,48,23,1902,1043,1043,18.3
15,49,25,5121,943,943,13.8
14,50,27,3573,967,967,16.6
14,51,21,2840,943,943,18.2
13,52,24,2095,945,945,18.3
11,53,23,5121,1023,1023,13.8
