Month,Sales of shampoo over a three year period
1月1日,13
1月2日,12.5
1月3日,14
1月4日,17
1月5日,18
1月6日,15
1月7日,13
1月8日,10
1月9日,5
1月10日,6
1月11日,7
1月12日,8
2月1日,8
2月2日,9
2月3日,10
2月4日,10
2月5日,8
2月6日,7
2月7日,6
2月8日,7
2月9日,8
2月10日,7
2月11日,6
2月12日,8
3月1日,9
3月2日,11
3月3日,13
3月4日,13
3月5日,14
3月6日,15
3月7日,16
3月8日,16
3月9日,16
3月10日,17
3月11日,18
3月12日,19
,21
Sales of shampoo over a three year period,23
,24
,24
,23
,16
,16
,15
,15
,13
,13
,15
,15
,14
,14
,13
,11
